Model,AP,AP50,AP75,APsmall,APmedium,APlarge,ARmax=1,ARmax=10,ARmax=100,ARsmall,ARmidium,ARlarge
efficientdet-lite0_int8,0.2564636907029625,0.41881004424090196,0.26716472069916053,0.06707948765443233,0.28701108415884785,0.43294969110990666,0.22508009246735838,0.32461503404748643,0.33327892519802305,0.08709983050142123,0.3759686478691347,0.552662706123605
efficientdet-lite1_int8,0.2961165730084568,0.46822375406675415,0.31177442347584294,0.10525821536358285,0.33001228957327,0.4695649893253515,0.2502564491381911,0.36870008706206236,0.3780851919493356,0.1380153239717066,0.4211208085793832,0.5876925537257255
efficientdet-lite2_int8,0.3272340191519535,0.5033208465840691,0.3484084694682239,0.13660770831873945,0.36279758490709524,0.5007938678194973,0.2720513318830138,0.40145771554433085,0.41168295832737106,0.1805661927289403,0.45909609382427136,0.6114338928424474
efficientdet-lite3_int8,0.35996040606569063,0.5353672209152668,0.38763129585900363,0.14752190590672432,0.4098849820475135,0.53569065335166,0.2921800245534006,0.4353589743583134,0.4464543913735759,0.19252631372990925,0.5071322496770463,0.6568909666587005
efficientdet-lite3x_int8,0.38235536172939283,0.5714402937200093,0.41034618275950113,0.19628914889183188,0.42507158398013306,0.5405150851130582,0.3064597898512231,0.4635815395345431,0.47549546596830683,0.2552078146130128,0.5223834135231593,0.6527786031970703
efficientdet-lite4_int8,0.39383534489923916,0.5740009377402447,0.4252761248436723,0.19780136808359827,0.43872797349968273,0.5651643362614822,0.31163583717698967,0.4743006048632982,0.48637955906719427,0.25068470155433126,0.5460671608583092,0.6696674266364626
efficientdet-lite0_fp32,0.2603079199964253,0.4216744700565571,0.2692411378227367,0.07202876389367914,0.29048186420283784,0.4394192661402394,0.22811888822828078,0.32927663812036,0.33799036976246205,0.09299982514387695,0.380790691149979,0.55774279483884
efficientdet-lite1_fp32,0.301613655890711,0.47287251588937146,0.3154783088601914,0.1096753893417055,0.3360874235131026,0.477329533919146,0.2548700755318286,0.37443827842426414,0.38389878239074937,0.1387278064451683,0.4289687031569247,0.5954116042627448
efficientdet-lite2_fp32,0.3315944825886355,0.507484077929087,0.35218957134020323,0.13906009601650451,0.36880234566818926,0.5057714327223046,0.2758430361336009,0.405559434201239,0.41605155406853017,0.18167566989020836,0.4643941360922427,0.6148933523107213
efficientdet-lite3_fp32,0.36317324431985964,0.5364223382403258,0.38880603259147356,0.1498355302593053,0.4124565432664936,0.539935743438315,0.2943733200626594,0.44023493882164594,0.4505731611868123,0.1940953118420704,0.5099316888295323,0.6619198919932106
efficientdet-lite3x_fp32,0.3867824529274223,0.5730345742947416,0.4121210339386894,0.20019894803604585,0.4303481384343951,0.5448398842773283,0.30836434310761474,0.4675561252527913,0.4798597677261563,0.25892831090498325,0.5273404944742608,0.6595272225470297
efficientdet-lite4_fp32,0.3969582108504716,0.5747842632118308,0.4287926793480196,0.20058717648792587,0.44024544254204484,0.5739279564059613,0.31372430821681063,0.4778535083298888,0.4899219693623914,0.25356678299298463,0.5463829129488788,0.6824712245444786
